Country,Count
haiti,2154
israel,1827
al,1432
afghanistan,1324
pakistan,1285
libya,1256
china,1247
ve,1065
iraq,770
turkey,602
de,573
af,546
india,541
honduras,492
fm,490
egypt,465
ireland,388
mexico,355
germany,318
armenia,285
sudan,269
brazil,267
france,249
tv,244
au,235
bangladesh,210
colombia,207
indonesia,200
palau,196
ni,195
japan,191
ben,189
canada,178
usa,175
cuba,165
yemen,154
na,135
greece,133
spain,133
italy,132
congo,131
morocco,130
qatar,129
poland,128
kenya,121
uganda,119
guinea,116
jordan,112
kyrgyzstan,111
somalia,106
argentina,106
angola,106
pak,104
ie,103
singapore,92
tunisia,86
lebanon,81
ga,78
rwanda,77
australia,74
chile,71
im,69
ecuador,68
georgia,68
ki,64
jm,64
il,60
nigeria,60
liberia,59
jersey,58
malaysia,58
peru,55
ph,55
se,54
png,54
uruguay,53
ukraine,51
fo,51
dk,51
norway,50
qa,48
portugal,48
philippines,47
jamaica,47
azerbaijan,46
slovenia,46
aq,46
mali,44
thailand,43
switzerland,42
lt,41
tm,40
ps,40
tt,37
md,37
tuv,36
va,36
belgium,36
samoa,35
